Hotel_ID,hotel_name,City,ADDRESS
4D6B24F8-0780-EF11-81A1-005056816226,מלונות פתאל בע"מ - מלון הרודס ים המלח,נווה זוהר,ד.נ. ים המלח 3
4F6B24F8-0780-EF11-81A1-005056816226,מלונות פתאל בע"מ - מלון לאונרדו פלאזה יה"מ,נווה זוהר,ד.נ. ים המלח 2
516B24F8-0780-EF11-81A1-005056816226,מלון נופש מוריה אילת בע"מ - לאונרדו פלאזה אילת,אילת,חוף הצפוני 135
536B24F8-0780-EF11-81A1-005056816226,פאן סאנרייז בע"מ - ספלאש ריזורט,אילות,קיבוץ איילות 1057
556B24F8-0780-EF11-81A1-005056816226,אחים שרבט (1989) בנייה והשקעות בע"מ - מג'יק פאלאס,אילת,חוף הצפוני 1781
576B24F8-0780-EF11-81A1-005056816226,פרדייז אילת ש.ר. - לאונרדו פריווליג' אילת,אילת,חוף הצפוני 2480
596B24F8-0780-EF11-81A1-005056816226,פרדייז אילת ש.ר. - לאונרדו קלאב אילת,אילת,חוף הצפוני 294
5B6B24F8-0780-EF11-81A1-005056816226,מלונות פתאל בע"מ -מלון רויאל ריזורט אילת,אילת,חוף הצפוני 1944
5D6B24F8-0780-EF11-81A1-005056816226,מלונות פתאל בע"מ - מלון הרודס אילת,אילת,חוף הצפוני 2426
5F6B24F8-0780-EF11-81A1-005056816226,פתאל קוראל ביץ' בע"מ - מלון יו קוראל ביץ',אילת,דרך מצריים 616
616B24F8-0780-EF11-81A1-005056816226,מלונות פתאל בעמ רוטשילד 22,תל אביב - יפו,רוטשילד 22
636B24F8-0780-EF11-81A1-005056816226,מלונות פתאל בעמ לאונרדו נתניה,נתניה,אוסישקין 1
656B24F8-0780-EF11-81A1-005056816226,מלונות פתאל בעמ לאונרדו טבריה,טבריה,גדוד ברק 17
676B24F8-0780-EF11-81A1-005056816226,מלונות פתאל בעמ ניקס הרצליה,הרצליה,נעמי שמר 3377
696B24F8-0780-EF11-81A1-005056816226,פתאל במרינה שותפות מוגבלת הרודס הרצליה,הרצליה,העוגן 11
6B6B24F8-0780-EF11-81A1-005056816226,מלונות פתאל בעמ הרודס תל אביב,תל אביב - יפו,הירקון 155
6D6B24F8-0780-EF11-81A1-005056816226,מלונות פתאל בעמ לאונרדו פלאזה אשדוד,אשדוד,שדרות הים התיכון 1
6F6B24F8-0780-EF11-81A1-005056816226,מלונות פתאל בעמ לאונרדו בוטיק רחובות,רחובות,אופנהיימר 2
716B24F8-0780-EF11-81A1-005056816226,מלונות פתאל בעמ יו בוטיק כנרת,טבריה,גדוד ברק 17
736B24F8-0780-EF11-81A1-005056816226,מלונות פתאל בעמ לאונרדו פלאזה ירושלים,ירושלים,הרב אבידע 1
756B24F8-0780-EF11-81A1-005056816226,מלונות פתאל לאונרדו ירושלים,ירושלים,סנט גורג 9
776B24F8-0780-EF11-81A1-005056816226,מלונות פתאל בעמ לאונרדו בוטיק רמת החייל,תל אביב - יפו,הברזל 17
796B24F8-0780-EF11-81A1-005056816226,מלונות פתאל בעמ קלאב טבריה,טבריה,אחד העם 19
7B6B24F8-0780-EF11-81A1-005056816226,מלונות פתאל בעמ פלאזה טבריה,טבריה,הבנים 1
7D6B24F8-0780-EF11-81A1-005056816226,מלונות פתאל בעמ לאונרדו פלאזה חיפה,חיפה,דוד אלעזר 10
7F6B24F8-0780-EF11-81A1-005056816226,מלונו פתאל בעמ לאונרדו בוטיק ירושלים,ירושלים,מונבז 3
816B24F8-0780-EF11-81A1-005056816226,אואזיס ספא קלאב,עין תמר,ים המלח 1
836B24F8-0780-EF11-81A1-005056816226,מישל מלונות בעמ,ירושלים,יפו 204
856B24F8-0780-EF11-81A1-005056816226,מלון התיאטרון ירושלים,ירושלים,השופן 16
876B24F8-0780-EF11-81A1-005056816226,מלון וורט לגון נתניה(חברת מלונות אפריקה ישראל בע'מ,נתניה,קהילת צפת 1
896B24F8-0780-EF11-81A1-005056816226,מלון קדם,טירת כרמל,לניאדו 14
8B6B24F8-0780-EF11-81A1-005056816226,עמיחי מלונות בע"מ  -  מלון פלאזה נוף הגליל,נוף הגליל,חרמון 2
8D6B24F8-0780-EF11-81A1-005056816226,מלון הקומה ה21 ירושלים -חברת הקומה החדשה,ירושלים,בן יהודה 34
916B24F8-0780-EF11-81A1-005056816226,וילה בראון יאושלים,ירושלים,הנביאים 54
956B24F8-0780-EF11-81A1-005056816226,בראון ירושלים,ירושלים,הלל 41
976B24F8-0780-EF11-81A1-005056816226,בראון מחנה יהודה,ירושלים,יפו 105
996B24F8-0780-EF11-81A1-005056816226,בת שבע ירושלים,ירושלים,המלך ג'ורוג' 42
9D6B24F8-0780-EF11-81A1-005056816226,מלון ענבל ירושלים,ירושלים,זבוטינסקי 3
9F6B24F8-0780-EF11-81A1-005056816226,בראון תל אביב,תל אביב - יפו,קלישר 30
A16B24F8-0780-EF11-81A1-005056816226,כרמל ביץ אפרטמנט בע"מ,חיפה,דוד אלעזר 10
A36B24F8-0780-EF11-81A1-005056816226,נוף סוף אילת,אילת,דרך מלכת שבא (נוף המפרץ) 3
A56B24F8-0780-EF11-81A1-005056816226,ד. ד בן יהודה 21 בע"מ,תל אביב - יפו,בן יהודה 21
A76B24F8-0780-EF11-81A1-005056816226,מלון קראון פלזה תל אביב ים (חברת אפדור בע'מ),תל אביב - יפו,הירקון 145
A96B24F8-0780-EF11-81A1-005056816226,מזרע. כפר נופש - תיירות מזרע אגש"ח בעמ,מזרע,כפר הנופש 1
AB6B24F8-0780-EF11-81A1-005056816226,מלון שומאכר בע"מ,חיפה,לוחמי הגיטאות 25
AD6B24F8-0780-EF11-81A1-005056816226,תור קלאב ש.ס בע"מ -  מלון איילנד נתניה,נתניה,שדרות עובד בן עמי 10
